#wavelength[A] flux[arbitraty]
  4020.77881  0.
  4026.22583  0.00104536
  4031.68018  0.00201198086
  4037.14209  0.0014473187
  4042.61108  0.00847192481
  4048.08789  0.0131547749
  4053.57178  0.0169871226
  4059.06348  0.0128488
  4064.56226  0.00689867046
  4070.0686  0.0687856078
  4075.58228  0.0745310038
  4081.10352  0.0275929347
  4086.63232 -0.00795266591
  4092.16846 -0.0441353135
  4097.7124 -0.0175048485
  4103.26367  0.00959270913
  4108.82227  0.0986066237
  4114.38867  0.138644502
  4119.9624  0.171917707
  4125.54395 -0.122201882
  4131.13281 -0.1701134
  4136.729 -0.230539903
  4142.3335 -0.0400486551
  4147.94531  0.0605648234
  4153.56445 -0.0558028258
  4159.19141  0.103846073
  4164.82617  0.373841375
  4170.46826  0.257904857
  4176.11816  0.179370835
  4181.77539 -0.0915295333
  4187.44043 -0.156387717
  4193.11328 -0.222224221
  4198.79395  0.00208437978
  4204.48193  0.0193623528
  4210.17773  0.00297622709
  4215.88135  0.08639507
  4221.59277  0.123976782
  4227.31201  0.0861179382
  4233.03857  0.120832399
  4238.77344  0.166307807
  4244.51562 -0.133754373
  4250.26562 -0.220499009
  4256.02393 -0.297764331
  4261.78955 -0.204792053
  4267.56299 -0.150444999
  4273.34473 -0.00234828517
  4279.13379 -0.172261655
  4284.93066 -0.359690726
  4290.73584 -0.225122988
  4296.54834 -0.247297972
  4302.36914 -0.325387061
  4308.19727 -0.203190029
  4314.03369 -0.185918093
  4319.87842 -0.316502631
  4325.72998 -0.210797548
  4331.59033 -0.138341069
  4337.4585 -0.142064929
  4343.33447 -0.182080448
  4349.21875 -0.228376389
  4355.11035 -0.18169117
  4361.01025 -0.160415947
  4366.91846 -0.12135309
  4372.83447 -0.250270009
  4378.7583 -0.265506744
  4384.69043 -0.171676636
  4390.63037 -0.22774303
  4396.57861 -0.229839981
  4402.53467 -0.0300839543
  4408.49902 -0.0578639507
  4414.47119 -0.0751259923
  4420.45166  0.0373028517
  4426.43994 -0.0679833889
  4432.43652 -0.168620944
  4438.44141  0.119320035
  4444.4541  0.182553172
  4450.4751  0.253306746
  4456.50439  0.181196928
  4462.5415  0.157609344
  4468.58691  0.136872053
  4474.64062  0.224171758
  4480.70264  0.285719395
  4486.77295  0.379780412
  4492.85107  0.338552356
  4498.9375  0.39543736
  4505.03223  0.531163335
  4511.13525  0.426026106
  4517.24658  0.382760167
  4523.36621  0.34811306
  4529.49414  0.465008736
  4535.63086  0.478607059
  4541.7749  0.463924408
  4547.92773  0.345025063
  4554.08887  0.330110908
  4560.2583  0.357053041
  4566.43652  0.337951303
  4572.62256  0.310599446
  4578.81738  0.274333239
  4585.02002  0.288377762
  4591.23145  0.310768366
  4597.45117  0.345481277
  4603.67969  0.196511984
  4609.9165  0.207715154
  4616.16162  0.239911437
  4622.41504  0.181997895
  4628.67725  0.180987239
  4634.94775  0.179096818
  4641.22705  0.108689785
  4647.51416  0.0853047371
  4653.81055  0.0587595701
  4660.11523 -0.00575369596
  4666.42822 -0.0193032026
  4672.75 -0.00398278236
  4679.08008  0.0897725821
  4685.41943  0.00812387466
  4691.7666 -0.035718739
  4698.12256 -0.0707342029
  4704.4873 -0.0953882337
  4710.86035 -0.108871639
  4717.24219 -0.120863736
  4723.63281 -0.11889118
  4730.03223 -0.150960505
  4736.43994 -0.182925761
  4742.85645 -0.22090584
  4749.28174 -0.149279773
  4755.71582 -0.137897789
  4762.1582 -0.207746625
  4768.60986 -0.169181585
  4775.06982 -0.179715574
  4781.53857 -0.208152294
  4788.0166 -0.178918898
  4794.50293 -0.212464511
  4800.99805 -0.23307234
  4807.50195 -0.18954283
  4814.01514 -0.170721114
  4820.53662 -0.160868764
  4827.06689 -0.153352261
  4833.60645 -0.149564326
  4840.15479 -0.115214825
  4846.71143 -0.092361629
  4853.27734 -0.180402517
  4859.85205 -0.153622687
  4866.43604 -0.171389818
  4873.02881 -0.234870315
  4879.63037 -0.228467166
  4886.24072 -0.212317288
  4892.86035 -0.205744147
  4899.48877 -0.253707409
  4906.12598 -0.282155037
  4912.77246 -0.262303054
  4919.42773 -0.210992694
  4926.09229 -0.254876792
  4932.76611 -0.238962471
  4939.44873 -0.208546042
  4946.14014 -0.14241904
  4952.84082 -0.220323741
  4959.55029 -0.215346634
  4966.26953 -0.197901249
  4972.99707 -0.208079219
  4979.73389 -0.198576987
  4986.47998 -0.196024656
  4993.23535 -0.198170125
  5000. -0.249424577
  5006.77344 -0.230729222
  5013.55664 -0.223156571
  5020.34863 -0.2260499
  5027.14941 -0.196985066
  5033.95996 -0.214169919
  5040.77979 -0.22049737
  5047.60791 -0.205958664
  5054.44629 -0.179562867
  5061.29395 -0.205473661
  5068.15039 -0.224072695
  5075.0166 -0.217224956
  5081.89209 -0.21108973
  5088.77637 -0.199384868
  5095.67041 -0.188273132
  5102.57324 -0.179399669
  5109.48584 -0.185631394
  5116.40771 -0.166446805
  5123.33936 -0.151333332
  5130.27979 -0.150866866
  5137.22949 -0.129533947
  5144.18896 -0.125387371
  5151.1582 -0.119215906
  5158.13672 -0.107128263
  5165.12451 -0.127313316
  5172.12158 -0.128538728
